scenario_id,conflict_id,t_min,sep_nm,vert_ft
scenario_1,conflict_2,22.5,2.88,500.0
scenario_1,conflict_2,23.0,3.19,500.0
scenario_1,conflict_2,23.5,3.1,500.0
scenario_1,conflict_2,24.0,3.58,500.0
scenario_1,conflict_2,24.5,3.56,500.0
scenario_2,conflict_1,0.0,9.75,500.0
scenario_2,conflict_1,0.5,9.57,500.0
scenario_2,conflict_1,1.0,9.02,500.0
scenario_2,conflict_1,1.5,8.42,500.0
scenario_2,conflict_1,2.0,7.75,500.0
scenario_2,conflict_1,2.5,6.86,500.0
scenario_2,conflict_1,3.0,6.44,500.0
scenario_2,conflict_1,3.5,5.55,500.0
scenario_2,conflict_1,4.0,5.4,500.0
scenario_2,conflict_1,4.5,4.85,500.0
scenario_2,conflict_1,5.0,3.8,500.0
scenario_2,conflict_1,5.5,3.44,500.0
scenario_2,conflict_1,6.0,2.72,500.0
scenario_2,conflict_1,6.5,2.09,500.0
scenario_2,conflict_1,7.0,1.55,500.0
scenario_2,conflict_1,7.5,0.93,500.0
scenario_2,conflict_1,8.0,1.04,500.0
scenario_2,conflict_1,8.5,0.88,500.0
scenario_2,conflict_1,9.0,1.14,500.0
scenario_2,conflict_1,9.5,1.25,500.0
scenario_2,conflict_1,10.0,1.36,500.0
scenario_2,conflict_1,10.5,1.52,500.0
scenario_2,conflict_1,11.0,1.52,500.0
scenario_2,conflict_1,11.5,1.61,500.0
scenario_2,conflict_1,12.0,2.6,500.0
scenario_2,conflict_1,12.5,2.68,500.0
scenario_2,conflict_1,13.0,2.54,500.0
scenario_2,conflict_1,13.5,3.22,500.0
scenario_2,conflict_1,14.0,3.46,500.0
scenario_2,conflict_1,14.5,3.58,500.0
scenario_2,conflict_2,10.0,10.22,500.0
scenario_2,conflict_2,10.5,9.38,500.0
scenario_2,conflict_2,11.0,8.64,500.0
scenario_2,conflict_2,11.5,8.38,500.0
scenario_2,conflict_2,12.0,7.61,500.0
scenario_2,conflict_2,12.5,7.15,500.0
scenario_2,conflict_2,13.0,6.61,500.0
scenario_2,conflict_2,13.5,6.17,500.0
scenario_2,conflict_2,14.0,4.91,500.0
scenario_2,conflict_2,14.5,4.65,500.0
scenario_2,conflict_2,15.0,4.38,500.0
scenario_2,conflict_2,15.5,3.57,500.0
scenario_2,conflict_2,16.0,2.87,500.0
scenario_2,conflict_2,16.5,2.63,500.0
scenario_2,conflict_2,17.0,1.67,500.0
scenario_2,conflict_2,17.5,0.87,500.0
scenario_2,conflict_2,18.0,0.68,500.0
scenario_2,conflict_2,18.5,1.17,500.0
scenario_2,conflict_2,19.0,1.05,500.0
scenario_2,conflict_2,19.5,1.57,500.0
scenario_2,conflict_2,20.0,1.27,500.0
scenario_2,conflict_2,20.5,1.77,500.0
scenario_2,conflict_2,21.0,2.01,500.0
scenario_2,conflict_2,21.5,2.17,500.0
scenario_2,conflict_2,22.0,2.49,500.0
scenario_2,conflict_2,22.5,2.69,500.0
scenario_2,conflict_2,23.0,2.89,500.0
scenario_2,conflict_2,23.5,3.4,500.0
scenario_2,conflict_2,24.0,3.8,500.0
scenario_2,conflict_2,24.5,3.54,500.0
scenario_3,conflict_1,0.0,9.49,500.0
scenario_3,conflict_1,0.5,9.31,500.0
scenario_3,conflict_1,1.0,8.61,500.0
scenario_3,conflict_1,1.5,8.29,500.0
scenario_3,conflict_1,2.0,7.51,500.0
scenario_3,conflict_1,2.5,6.67,500.0
scenario_3,conflict_1,3.0,6.17,500.0
scenario_3,conflict_1,3.5,5.75,500.0
scenario_3,conflict_1,4.0,4.88,500.0
scenario_3,conflict_1,4.5,4.53,500.0
scenario_3,conflict_1,5.0,4.1,500.0
scenario_3,conflict_1,5.5,3.05,500.0
scenario_3,conflict_1,6.0,2.63,500.0
scenario_3,conflict_1,6.5,2.13,500.0
scenario_3,conflict_1,7.0,1.57,500.0
scenario_3,conflict_1,7.5,0.56,500.0
scenario_3,conflict_1,8.0,0.85,500.0
scenario_3,conflict_1,8.5,0.97,500.0
scenario_3,conflict_1,9.0,0.86,500.0
scenario_3,conflict_1,9.5,0.99,500.0
scenario_3,conflict_1,10.0,1.61,500.0
scenario_3,conflict_1,10.5,1.9,500.0
scenario_3,conflict_1,11.0,2.13,500.0
scenario_3,conflict_1,11.5,2.21,500.0
scenario_3,conflict_1,12.0,2.38,500.0
scenario_3,conflict_1,12.5,2.28,500.0
scenario_3,conflict_1,13.0,2.69,500.0
scenario_3,conflict_1,13.5,3.01,500.0
scenario_3,conflict_1,14.0,3.51,500.0
scenario_3,conflict_1,14.5,3.65,500.0
scenario_3,conflict_2,10.0,10.38,500.0
scenario_3,conflict_2,10.5,8.85,500.0
scenario_3,conflict_2,11.0,8.82,500.0
scenario_3,conflict_2,11.5,8.32,500.0
scenario_3,conflict_2,12.0,7.47,500.0
scenario_3,conflict_2,12.5,7.06,500.0
scenario_3,conflict_2,13.0,6.5,500.0
scenario_3,conflict_2,13.5,6.12,500.0
scenario_3,conflict_2,14.0,4.97,500.0
scenario_3,conflict_2,14.5,4.88,500.0
scenario_3,conflict_2,15.0,3.98,500.0
scenario_3,conflict_2,15.5,3.46,500.0
scenario_3,conflict_2,16.0,2.51,500.0
scenario_3,conflict_2,16.5,2.59,500.0
scenario_3,conflict_2,17.0,1.68,500.0
scenario_3,conflict_2,17.5,0.85,500.0
scenario_3,conflict_2,18.0,0.94,500.0
scenario_3,conflict_2,18.5,0.96,500.0
scenario_3,conflict_2,19.0,1.02,500.0
scenario_3,conflict_2,19.5,1.22,500.0
scenario_3,conflict_2,20.0,1.42,500.0
scenario_3,conflict_2,20.5,1.73,500.0
scenario_3,conflict_2,21.0,1.88,500.0
scenario_3,conflict_2,21.5,2.09,500.0
scenario_3,conflict_2,22.0,2.64,500.0
scenario_3,conflict_2,22.5,2.96,500.0
scenario_3,conflict_2,23.0,2.78,500.0
scenario_3,conflict_2,23.5,3.21,500.0
scenario_3,conflict_2,24.0,3.42,500.0
scenario_3,conflict_2,24.5,3.42,500.0
